OrderID,OrderDate,CustomerID,Region,ProductID,ProductName,Category,Quantity,Sales,Profit
ORD000025,2025-06-22,C00684,West,P4001,Milk,Grocery,1,3,0.8
ORD000026,2024-10-06,C00613,East,P3002,Shoes,Apparel,2,140,30.53
ORD000027,2025-05-09,C00503,East,P3002,Shoes,Apparel,2,140,39.26
ORD000028,2023-12-01,C00015,South,P3002,Shoes,Apparel,1,70,16.15
ORD000029,2025-05-20,C00864,East,P1002,Headphones,Electronics,1,50,7.52
ORD000030,2024-04-06,C00734,North,P1001,Smartphone,Electronics,1,300,68.14
ORD000031,2024-07-27,C00541,West,P4001,Milk,Grocery,1,3,0.7
ORD000032,2023-11-21,C00086,West,P3001,Shirt,Apparel,1,30,5.17
ORD000033,2024-06-06,C00646,West,P1002,Headphones,Electronics,1,50,8.7
ORD000034,2025-10-04,C00958,East,P2002,Sofa,Home Decor,1,600,122.48
ORD000035,2023-10-21,C00231,South,P4002,Coffee,Grocery,2,20,6.48
ORD000036,2024-07-17,C00633,West,P1001,Smartphone,Electronics,1,300,78.58
ORD000037,2024-11-15,C00456,East,P3001,Shirt,Apparel,2,60,6.1
ORD000038,2025-10-12,C00234,West,P1001,Smartphone,Electronics,1,300,81.93
ORD000039,2024-06-28,C00608,West,P4002,Coffee,Grocery,3,30,5.42
ORD000040,2025-10-14,C00442,West,P1001,Smartphone,Electronics,1,300,34.87
ORD000041,2025-08-25,C00113,North,P2002,Sofa,Home Decor,1,600,134.59
ORD000042,2024-02-17,C00002,South,P1001,Smartphone,Electronics,3,900,150.03
ORD000043,2024-12-04,C00225,North,P2002,Sofa,Home Decor,1,600,101.8
ORD000044,2024-11-20,C00730,West,P2001,Lamp,Home Decor,1,25,5.82
ORD000045,2024-12-07,C00203,West,P3002,Shoes,Apparel,1,70,18.76
ORD000046,2025-09-18,C00837,West,P2001,Lamp,Home Decor,1,25,7.52
ORD000047,2025-02-06,C00752,West,P1002,Headphones,Electronics,1,50,11.7
ORD000048,2023-10-22,C00464,North,P1001,Smartphone,Electronics,1,300,68.11
ORD000049,2024-12-20,C00403,South,P2001,Lamp,Home Decor,1,25,6.73
ORD000050,2024-04-30,C00711,West,P2001,Lamp,Home Decor,2,50,9.36
ORD000051,2025-04-27,C00338,West,P1001,Smartphone,Electronics,1,300,59.01
ORD000052,2023-12-09,C00946,East,P1001,Smartphone,Electronics,1,300,85.14
ORD000053,2024-07-01,C00764,West,P4001,Milk,Grocery,2,6,0.99
ORD000054,2025-01-04,C00881,South,P1002,Headphones,Electronics,3,150,34.37
ORD000055,2024-02-14,C00037,West,P1001,Smartphone,Electronics,1,300,97.29
ORD000056,2025-06-21,C00659,West,P2001,Lamp,Home Decor,1,25,4.24
ORD000057,2024-06-17,C00120,North,P4002,Coffee,Grocery,2,20,6.44
ORD000058,2024-03-01,C00420,South,P4002,Coffee,Grocery,2,20,6.68
ORD000059,2025-05-16,C00510,North,P4002,Coffee,Grocery,1,10,1.02
ORD000060,2023-11-21,C00878,South,P2001,Lamp,Home Decor,3,75,12.82
ORD000061,2023-10-24,C00681,West,P1002,Headphones,Electronics,1,50,13.15
ORD000062,2024-04-24,C00816,West,P1001,Smartphone,Electronics,1,300,67.04
ORD000063,2025-09-01,C00401,West,P4002,Coffee,Grocery,1,10,3.12
ORD000064,2024-09-24,C00470,East,P1001,Smartphone,Electronics,1,300,68.16
ORD000065,2024-07-30,C00365,East,P3002,Shoes,Apparel,1,70,24.03
ORD000066,2024-10-18,C00277,South,P3002,Shoes,Apparel,3,210,43.81
ORD000067,2024-10-10,C00453,West,P1001,Smartphone,Electronics,1,300,66.94
ORD000068,2025-07-11,C00192,North,P3001,Shirt,Apparel,1,30,7.29
ORD000069,2024-02-11,C00477,South,P4002,Coffee,Grocery,1,10,3.35
ORD000070,2025-03-03,C00037,West,P3001,Shirt,Apparel,2,60,17.22
ORD000071,2024-05-07,C00099,West,P3001,Shirt,Apparel,1,30,10.25
ORD000072,2024-03-24,C00928,East,P1001,Smartphone,Electronics,1,300,52.93
ORD000073,2024-12-31,C00793,South,P1001,Smartphone,Electronics,1,300,42.71
ORD000074,2024-03-22,C00686,West,P4001,Milk,Grocery,2,6,2.0
ORD000075,2024-01-12,C00962,East,P1002,Headphones,Electronics,1,50,17.38
ORD000076,2025-07-09,C00104,North,P2001,Lamp,Home Decor,1,25,4.52
ORD000077,2025-05-18,C00477,South,P1001,Smartphone,Electronics,2,600,113.92
ORD000078,2025-07-08,C00408,North,P4001,Milk,Grocery,1,3,0.49
ORD000079,2024-12-17,C00685,West,P2002,Sofa,Home Decor,1,600,135.23
ORD000080,2024-11-25,C00654,West,P1001,Smartphone,Electronics,1,300,59.76
ORD000081,2024-04-18,C00834,West,P2001,Lamp,Home Decor,1,25,4.85
ORD000082,2025-09-07,C00698,East,P4001,Milk,Grocery,1,3,0.55
ORD000083,2024-11-19,C00342,North,P3002,Shoes,Apparel,1,70,17.34
ORD000084,2025-05-21,C00444,North,P2002,Sofa,Home Decor,1,600,105.49
ORD000085,2025-04-01,C00620,North,P1001,Smartphone,Electronics,2,600,100.73
ORD000086,2024-10-08,C00884,South,P4001,Milk,Grocery,1,3,0.34
ORD000087,2025-03-07,C00656,North,P4001,Milk,Grocery,1,3,0.4
ORD000088,2025-04-02,C00657,West,P1002,Headphones,Electronics,1,50,9.04
ORD000089,2024-04-28,C00346,North,P4001,Milk,Grocery,1,3,0.86
ORD000090,2024-07-20,C00393,West,P1002,Headphones,Electronics,3,150,46.35
ORD000091,2024-01-19,C00751,South,P3001,Shirt,Apparel,1,30,9.86
ORD000092,2024-12-26,C00488,North,P4002,Coffee,Grocery,1,10,2.79
ORD000093,2024-01-10,C00704,East,P3001,Shirt,Apparel,1,30,6.88
ORD000094,2024-08-08,C00076,South,P3001,Shirt,Apparel,1,30,6.15
ORD000095,2025-03-04,C00285,South,P4002,Coffee,Grocery,1,10,1.3
ORD000096,2025-10-08,C00750,South,P2002,Sofa,Home Decor,1,600,66.11
ORD000097,2023-11-03,C00474,West,P2002,Sofa,Home Decor,1,600,62.57
ORD000098,2024-09-24,C00734,North,P3001,Shirt,Apparel,1,30,4.3
ORD000099,2024-12-18,C00100,South,P4001,Milk,Grocery,1,3,1.01
ORD000100,2025-01-24,C00442,West,P2002,Sofa,Home Decor,1,600,153.88
ORD000101,2025-08-20,C00016,West,P1001,Smartphone,Electronics,1,300,81.3
ORD000102,2024-12-18,C00896,West,P4002,Coffee,Grocery,1,10,1.07
ORD000103,2025-06-17,C00675,West,P2001,Lamp,Home Decor,2,50,13.46
ORD000104,2024-12-21,C00613,West,P1001,Smartphone,Electronics,1,300,70.92
ORD000105,2024-03-28,C00043,West,P2001,Lamp,Home Decor,2,50,13.14
ORD000106,2024-08-02,C00898,North,P3001,Shirt,Apparel,1,30,3.76
ORD000107,2025-04-10,C00090,West,P2001,Lamp,Home Decor,1,25,4.6
ORD000108,2025-02-14,C00418,East,P3001,Shirt,Apparel,2,60,6.35
ORD000109,2025-09-10,C00626,North,P1001,Smartphone,Electronics,1,300,81.97
ORD000110,2025-01-10,C00277,North,P2001,Lamp,Home Decor,2,50,14.19
ORD000111,2024-12-16,C00920,West,P1001,Smartphone,Electronics,1,300,61.76
ORD000112,2024-12-15,C00978,North,P2001,Lamp,Home Decor,3,75,15.24
ORD000113,2025-04-13,C00736,North,P4001,Milk,Grocery,1,3,0.95
ORD000114,2024-04-13,C00217,East,P2002,Sofa,Home Decor,1,600,172.63
ORD000115,2025-05-09,C00596,West,P1001,Smartphone,Electronics,1,300,70.07
ORD000116,2024-01-05,C00177,West,P1001,Smartphone,Electronics,1,300,97.16
ORD000117,2025-09-06,C00265,East,P2002,Sofa,Home Decor,3,1800,561.21
ORD000118,2024-11-12,C00851,South,P2002,Sofa,Home Decor,3,1800,607.77
ORD000119,2024-11-03,C00396,North,P4001,Milk,Grocery,1,3,0.37
ORD000120,2024-09-15,C00151,West,P2002,Sofa,Home Decor,1,600,172.86
ORD000121,2025-05-27,C00186,East,P1001,Smartphone,Electronics,1,300,99.82
ORD000122,2025-04-03,C00215,North,P3002,Shoes,Apparel,1,70,14.73
ORD000123,2024-01-29,C00009,South,P2001,Lamp,Home Decor,2,50,17.11
ORD000124,2025-03-23,C00519,South,P1002,Headphones,Electronics,1,50,6.26
ORD000125,2024-04-06,C00795,South,P3001,Shirt,Apparel,1,30,5.97
ORD000126,2025-08-16,C00339,West,P1002,Headphones,Electronics,1,50,6.06
ORD000127,2025-01-12,C00657,East,P4002,Coffee,Grocery,2,20,6.4
ORD000128,2024-05-11,C00070,West,P4001,Milk,Grocery,3,9,2.6
ORD000129,2025-05-22,C00167,East,P4001,Milk,Grocery,1,3,0.58
ORD000130,2025-02-08,C00451,North,P1002,Headphones,Electronics,3,150,19.17
ORD000131,2025-08-13,C00660,West,P3001,Shirt,Apparel,1,30,7.29
ORD000132,2024-06-02,C00001,East,P4002,Coffee,Grocery,1,10,2.62
ORD000133,2025-09-27,C00508,North,P3001,Shirt,Apparel,1,30,6.0
ORD000134,2024-07-08,C00134,South,P1001,Smartphone,Electronics,2,600,93.54
ORD000135,2024-09-03,C00815,North,P2002,Sofa,Home Decor,3,1800,430.2
ORD000136,2024-12-08,C00229,West,P4002,Coffee,Grocery,1,10,3.48
ORD000137,2025-06-09,C00047,North,P2001,Lamp,Home Decor,1,25,2.97
ORD000138,2024-03-15,C00373,South,P1001,Smartphone,Electronics,1,300,64.09
ORD000139,2024-06-27,C00971,West,P3002,Shoes,Apparel,1,70,19.9
ORD000140,2023-12-07,C00972,West,P1002,Headphones,Electronics,3,150,48.38
ORD000141,2025-04-22,C00676,South,P2002,Sofa,Home Decor,1,600,85.45
ORD000142,2023-12-13,C00732,North,P4002,Coffee,Grocery,1,10,2.46
ORD000143,2025-05-24,C00959,North,P1001,Smartphone,Electronics,1,300,63.99
ORD000144,2024-11-22,C00732,West,P1001,Smartphone,Electronics,1,300,91.03
ORD000145,2024-11-09,C00390,South,P3001,Shirt,Apparel,1,30,3.57
ORD000146,2024-09-02,C00450,South,P2001,Lamp,Home Decor,2,50,12.67
ORD000147,2025-02-24,C00005,East,P4002,Coffee,Grocery,2,20,4.76
ORD000148,2023-11-24,C00224,East,P4002,Coffee,Grocery,1,10,3.03
ORD000149,2025-05-26,C00217,South,P1001,Smartphone,Electronics,1,300,86.22
ORD000150,2025-04-12,C00610,North,P2001,Lamp,Home Decor,2,50,15.48
ORD000151,2023-12-23,C00823,South,P2001,Lamp,Home Decor,1,25,2.59
ORD000152,2025-01-08,C00870,East,P2002,Sofa,Home Decor,2,1200,419.92
ORD000153,2024-05-28,C00714,South,P3001,Shirt,Apparel,1,30,8.45
ORD000154,2025-05-02,C00878,North,P2001,Lamp,Home Decor,1,25,5.32
ORD000155,2024-08-12,C00449,North,P2001,Lamp,Home Decor,1,25,3.8
ORD000156,2024-02-05,C00072,East,P4002,Coffee,Grocery,1,10,1.9
ORD000157,2024-07-28,C00771,East,P1002,Headphones,Electronics,1,50,10.95
ORD000158,2024-08-12,C00389,South,P1002,Headphones,Electronics,2,100,23.8
ORD000159,2023-11-21,C00767,East,P3002,Shoes,Apparel,2,140,34.65
ORD000160,2024-11-07,C00578,East,P4001,Milk,Grocery,2,6,1.53
ORD000161,2025-08-30,C00738,South,P2001,Lamp,Home Decor,3,75,19.07
ORD000162,2025-06-25,C00859,East,P1002,Headphones,Electronics,1,50,9.9
ORD000163,2024-05-12,C00481,West,P4001,Milk,Grocery,2,6,1.42
ORD000164,2024-02-11,C00563,North,P4001,Milk,Grocery,1,3,0.77
ORD000165,2025-04-14,C00401,South,P3001,Shirt,Apparel,2,60,12.89
ORD000166,2024-01-29,C00546,South,P1001,Smartphone,Electronics,1,300,64.44
ORD000167,2024-05-05,C00043,West,P3001,Shirt,Apparel,1,30,4.57
ORD000168,2024-12-13,C00183,West,P2001,Lamp,Home Decor,1,25,3.31
ORD000169,2023-10-28,C00900,West,P4001,Milk,Grocery,1,3,0.82
ORD000170,2024-09-07,C00195,East,P2002,Sofa,Home Decor,1,600,194.52
ORD000171,2024-12-29,C00051,East,P3001,Shirt,Apparel,3,90,22.54
ORD000172,2024-10-13,C00829,South,P3001,Shirt,Apparel,1,30,5.09
ORD000173,2025-08-06,C00524,South,P3001,Shirt,Apparel,1,30,7.01
ORD000174,2023-11-12,C00813,East,P3002,Shoes,Apparel,1,70,15.81
ORD000175,2025-05-20,C00214,East,P1001,Smartphone,Electronics,1,300,66.09
ORD000176,2025-04-04,C00573,North,P4002,Coffee,Grocery,2,20,6.6
ORD000177,2025-05-08,C00867,North,P1002,Headphones,Electronics,2,100,12.11
ORD000178,2024-11-27,C00726,South,P2002,Sofa,Home Decor,1,600,115.57
ORD000179,2023-12-20,C00386,North,P1002,Headphones,Electronics,2,100,23.28
ORD000180,2024-04-28,C00007,East,P1002,Headphones,Electronics,1,50,8.16
ORD000181,2024-11-13,C00508,North,P4001,Milk,Grocery,2,6,1.72
ORD000182,2024-08-31,C00015,West,P1002,Headphones,Electronics,1,50,11.66
ORD000183,2025-09-09,C00039,North,P1001,Smartphone,Electronics,2,600,87.34
ORD000184,2023-12-29,C00812,North,P1001,Smartphone,Electronics,1,300,54.56
ORD000185,2024-12-04,C00394,East,P1001,Smartphone,Electronics,1,300,65.55
ORD000186,2025-01-24,C00111,South,P1001,Smartphone,Electronics,1,300,36.52
ORD000187,2024-06-24,C00748,East,P1002,Headphones,Electronics,1,50,12.33
ORD000188,2024-11-18,C00282,West,P1002,Headphones,Electronics,1,50,9.54
ORD000189,2025-03-29,C00966,North,P1002,Headphones,Electronics,1,50,11.23
ORD000190,2025-01-24,C00710,South,P1001,Smartphone,Electronics,1,300,37.63
ORD000191,2023-11-19,C00446,South,P4001,Milk,Grocery,1,3,0.94
ORD000192,2024-04-02,C00759,East,P3002,Shoes,Apparel,1,70,22.69
ORD000193,2024-09-08,C00920,East,P2001,Lamp,Home Decor,1,25,6.86
ORD000194,2024-03-31,C00004,East,P3002,Shoes,Apparel,1,70,23.97
ORD000195,2024-02-05,C00998,East,P3002,Shoes,Apparel,3,210,46.76
ORD000196,2025-05-18,C00392,South,P3002,Shoes,Apparel,3,210,50.23
ORD000197,2025-07-18,C00410,South,P2001,Lamp,Home Decor,2,50,7.56
ORD000198,2024-03-30,C00113,West,P2002,Sofa,Home Decor,1,600,136.14
ORD000199,2025-02-08,C00550,North,P4001,Milk,Grocery,2,6,1.75
ORD000200,2025-05-07,C00259,North,P3002,Shoes,Apparel,1,70,15.42
ORD000201,2024-12-31,C00919,South,P3002,Shoes,Apparel,1,70,9.35
ORD000202,2023-10-24,C00596,North,P2002,Sofa,Home Decor,1,600,162.69
ORD000203,2023-10-21,C00971,East,P4001,Milk,Grocery,1,3,0.87
ORD000204,2024-01-16,C00095,North,P4002,Coffee,Grocery,1,10,2.99
ORD000205,2025-03-03,C00334,North,P3001,Shirt,Apparel,2,60,20.48
ORD000206,2025-04-14,C00995,East,P4002,Coffee,Grocery,3,30,4.54
ORD000207,2025-10-02,C00832,North,P1001,Smartphone,Electronics,2,600,146.17
ORD000208,2023-11-21,C00828,South,P4002,Coffee,Grocery,2,20,5.75
ORD000209,2025-07-29,C00379,South,P2001,Lamp,Home Decor,1,25,7.59
ORD000210,2025-05-14,C00042,North,P1002,Headphones,Electronics,3,150,26.86
ORD000211,2023-12-08,C00526,West,P1002,Headphones,Electronics,2,100,20.98
ORD000212,2024-04-20,C00575,East,P2001,Lamp,Home Decor,1,25,5.87
ORD000213,2024-04-23,C00503,South,P1001,Smartphone,Electronics,1,300,97.47
ORD000214,2024-03-16,C00039,East,P3002,Shoes,Apparel,1,70,11.01
ORD000215,2024-02-14,C00968,South,P3002,Shoes,Apparel,3,210,53.95
ORD000216,2025-06-27,C00289,West,P4002,Coffee,Grocery,1,10,3.2
ORD000217,2024-04-22,C00550,North,P3002,Shoes,Apparel,2,140,41.6
ORD000218,2024-03-22,C00289,South,P1001,Smartphone,Electronics,2,600,176.79
ORD000219,2024-12-25,C00635,South,P2002,Sofa,Home Decor,1,600,174.37
ORD000220,2025-01-11,C00815,West,P1001,Smartphone,Electronics,1,300,70.24
ORD000221,2024-06-06,C00157,West,P3001,Shirt,Apparel,1,30,5.98
ORD000222,2024-08-28,C00685,South,P3001,Shirt,Apparel,1,30,6.07
ORD000223,2024-10-06,C00292,South,P2001,Lamp,Home Decor,1,25,6.84
ORD000224,2025-05-17,C00254,South,P2001,Lamp,Home Decor,1,25,7.67
ORD000225,2025-05-18,C00815,South,P4002,Coffee,Grocery,1,10,2.0
ORD000226,2024-04-12,C00616,South,P3002,Shoes,Apparel,1,70,22.96
ORD000227,2025-07-01,C00828,East,P1002,Headphones,Electronics,1,50,5.23
ORD000228,2024-10-09,C00133,West,P2002,Sofa,Home Decor,1,600,197.81
ORD000229,2024-11-21,C00604,East,P3001,Shirt,Apparel,2,60,8.29
ORD000230,2023-12-21,C00462,West,P1002,Headphones,Electronics,1,50,5.97
ORD000231,2024-12-26,C00814,North,P1001,Smartphone,Electronics,3,900,191.44
ORD000232,2025-03-17,C00983,North,P3001,Shirt,Apparel,1,30,4.4
ORD000233,2025-05-24,C00936,East,P1001,Smartphone,Electronics,2,600,137.83
ORD000234,2025-04-30,C00202,West,P3001,Shirt,Apparel,1,30,8.58
ORD000235,2025-05-29,C00575,West,P1001,Smartphone,Electronics,1,300,55.01
ORD000236,2025-08-09,C00903,South,P1001,Smartphone,Electronics,2,600,198.44
ORD000237,2024-01-14,C00939,East,P2001,Lamp,Home Decor,2,50,10.65
ORD000238,2024-02-29,C00025,East,P2002,Sofa,Home Decor,3,1800,291.7
ORD000239,2024-08-22,C00177,North,P2002,Sofa,Home Decor,1,600,197.23
ORD000240,2024-10-24,C00882,North,P4001,Milk,Grocery,1,3,0.47
ORD000241,2025-03-25,C00689,West,P1001,Smartphone,Electronics,1,300,102.08
ORD000242,2025-03-22,C00360,North,P3002,Shoes,Apparel,2,140,32.73
ORD000243,2023-12-06,C00215,East,P4001,Milk,Grocery,1,3,0.35
ORD000244,2024-06-08,C00670,North,P2001,Lamp,Home Decor,2,50,9.37
ORD000245,2024-09-21,C00424,East,P1001,Smartphone,Electronics,1,300,65.41
ORD000246,2025-04-06,C00194,South,P1002,Headphones,Electronics,1,50,13.93
ORD000247,2024-08-06,C00947,East,P2002,Sofa,Home Decor,1,600,134.55
ORD000248,2025-04-28,C00871,East,P2002,Sofa,Home Decor,1,600,189.27
ORD000249,2025-08-30,C00162,West,P4002,Coffee,Grocery,1,10,3.24
ORD000250,2024-10-07,C00178,East,P1001,Smartphone,Electronics,1,300,41.71
ORD000251,2024-01-07,C00835,West,P3001,Shirt,Apparel,1,30,7.14
ORD000252,2025-04-12,C00054,North,P4001,Milk,Grocery,1,3,0.31
ORD000253,2024-02-28,C00604,East,P4001,Milk,Grocery,1,3,0.97
ORD000254,2024-12-12,C00078,West,P4002,Coffee,Grocery,1,10,1.61
ORD000255,2025-08-30,C00500,North,P4002,Coffee,Grocery,2,20,6.81
ORD000256,2024-10-16,C00944,South,P3002,Shoes,Apparel,1,70,12.13
ORD000257,2025-04-28,C00085,East,P4001,Milk,Grocery,1,3,0.85
ORD000258,2025-09-14,C00700,South,P4002,Coffee,Grocery,1,10,2.46
ORD000259,2024-12-30,C00523,South,P1002,Headphones,Electronics,3,150,38.43
ORD000260,2024-01-06,C00396,West,P4001,Milk,Grocery,1,3,0.74
ORD000261,2024-03-02,C00905,South,P3001,Shirt,Apparel,1,30,8.8
ORD000262,2025-01-19,C00854,West,P3001,Shirt,Apparel,1,30,10.11
ORD000263,2025-03-12,C00059,South,P4002,Coffee,Grocery,1,10,2.41
ORD000264,2025-01-08,C00115,North,P4001,Milk,Grocery,2,6,1.24
ORD000265,2024-06-25,C00281,East,P3002,Shoes,Apparel,2,140,38.46
ORD000266,2024-08-29,C00004,South,P1001,Smartphone,Electronics,1,300,92.62
ORD000267,2025-08-21,C00805,East,P1002,Headphones,Electronics,3,150,40.92
ORD000268,2025-06-22,C00356,North,P3002,Shoes,Apparel,3,210,27.18
ORD000269,2025-01-25,C00998,South,P3002,Shoes,Apparel,1,70,14.09
ORD000270,2023-10-24,C00981,East,P2002,Sofa,Home Decor,1,600,61.65
ORD000271,2025-04-16,C00610,West,P1001,Smartphone,Electronics,1,300,84.91
ORD000272,2025-08-31,C00685,North,P3001,Shirt,Apparel,1,30,4.32
ORD000273,2025-04-27,C00558,West,P1002,Headphones,Electronics,1,50,14.64
ORD000274,2024-09-21,C00819,North,P1002,Headphones,Electronics,1,50,14.23
ORD000275,2025-04-09,C00779,West,P2002,Sofa,Home Decor,2,1200,140.47
ORD000276,2024-04-23,C00807,West,P2001,Lamp,Home Decor,1,25,6.99
ORD000277,2024-08-07,C00664,South,P2001,Lamp,Home Decor,3,75,14.94
ORD000278,2024-05-27,C00548,East,P3002,Shoes,Apparel,2,140,21.52
ORD000279,2024-04-01,C00849,South,P2002,Sofa,Home Decor,1,600,186.23
ORD000280,2024-04-04,C00154,South,P2001,Lamp,Home Decor,1,25,4.59
ORD000281,2024-04-27,C00641,North,P3001,Shirt,Apparel,1,30,5.64
ORD000282,2025-01-12,C00039,East,P3001,Shirt,Apparel,1,30,6.26
ORD000283,2024-04-03,C00435,South,P2001,Lamp,Home Decor,1,25,2.51
ORD000284,2024-05-29,C00044,East,P3002,Shoes,Apparel,1,70,13.32
ORD000285,2024-06-08,C00569,East,P2001,Lamp,Home Decor,3,75,22.31
ORD000286,2024-03-24,C00216,East,P1001,Smartphone,Electronics,1,300,70.64
ORD000287,2024-04-09,C00485,South,P4002,Coffee,Grocery,1,10,2.9
ORD000288,2024-10-07,C00089,West,P4002,Coffee,Grocery,2,20,3.25
ORD000289,2025-03-02,C00538,East,P4001,Milk,Grocery,1,3,0.34
ORD000290,2025-05-26,C00919,South,P4002,Coffee,Grocery,2,20,6.63
ORD000291,2024-09-21,C00335,North,P3001,Shirt,Apparel,1,30,5.35
ORD000292,2025-03-26,C00498,East,P4001,Milk,Grocery,1,3,0.99
ORD000293,2023-11-01,C00372,East,P4001,Milk,Grocery,2,6,1.72
ORD000294,2024-08-21,C00273,South,P2001,Lamp,Home Decor,1,25,7.68
ORD000295,2024-02-08,C00813,South,P4001,Milk,Grocery,1,3,0.72
ORD000296,2024-09-03,C00183,East,P2001,Lamp,Home Decor,1,25,4.62
ORD000297,2025-07-29,C00516,North,P2002,Sofa,Home Decor,1,600,180.6
ORD000298,2025-05-12,C00016,North,P3002,Shoes,Apparel,1,70,17.95
ORD000299,2025-06-14,C00739,South,P1002,Headphones,Electronics,2,100,20.44
ORD000300,2025-03-21,C00141,South,P1002,Headphones,Electronics,1,50,15.93
ORD000301,2024-11-29,C00814,West,P4002,Coffee,Grocery,3,30,3.53
ORD000302,2025-01-30,C00245,West,P3001,Shirt,Apparel,2,60,12.03
ORD000303,2025-01-24,C00377,South,P1001,Smartphone,Electronics,1,300,50.38
ORD000304,2025-09-21,C00389,North,P3002,Shoes,Apparel,1,70,14.37
ORD000305,2023-12-11,C00376,South,P3002,Shoes,Apparel,1,70,15.18
ORD000306,2025-06-19,C00665,West,P1002,Headphones,Electronics,1,50,7.92
ORD000307,2024-02-16,C00399,North,P1001,Smartphone,Electronics,3,900,100.15
ORD000308,2024-07-21,C00805,North,P1001,Smartphone,Electronics,1,300,46.37
ORD000309,2025-09-02,C00440,East,P3001,Shirt,Apparel,1,30,6.13
ORD000310,2024-08-04,C00226,North,P3002,Shoes,Apparel,1,70,22.82
ORD000311,2025-02-03,C00660,North,P4001,Milk,Grocery,3,9,1.42
ORD000312,2025-08-01,C00366,South,P4001,Milk,Grocery,1,3,0.92
ORD000313,2025-03-17,C00753,South,P2001,Lamp,Home Decor,1,25,3.88
ORD000314,2024-06-17,C00054,East,P2001,Lamp,Home Decor,2,50,15.01
ORD000315,2025-06-06,C00890,North,P4001,Milk,Grocery,2,6,1.99
ORD000316,2025-08-24,C00850,South,P3001,Shirt,Apparel,1,30,6.86
ORD000317,2024-05-03,C00998,North,P1001,Smartphone,Electronics,1,300,91.19
ORD000318,2024-08-13,C00580,South,P4002,Coffee,Grocery,2,20,2.17
ORD000319,2025-08-19,C00323,East,P3001,Shirt,Apparel,1,30,9.58
ORD000320,2025-06-02,C00738,West,P2002,Sofa,Home Decor,1,600,66.66
ORD000321,2023-12-07,C00261,East,P1002,Headphones,Electronics,2,100,26.38
ORD000322,2024-05-06,C00038,West,P2001,Lamp,Home Decor,1,25,4.08
ORD000323,2024-11-18,C00454,North,P2001,Lamp,Home Decor,2,50,11.2
ORD000324,2023-12-24,C00973,North,P2002,Sofa,Home Decor,1,600,194.17
ORD000325,2024-10-11,C00349,East,P1002,Headphones,Electronics,1,50,11.01
ORD000326,2024-02-11,C00040,East,P1002,Headphones,Electronics,1,50,13.28
ORD000327,2024-05-02,C00147,West,P3001,Shirt,Apparel,1,30,9.59
ORD000328,2024-03-02,C00816,North,P4002,Coffee,Grocery,1,10,1.39
ORD000329,2023-11-18,C00170,West,P3001,Shirt,Apparel,2,60,16.46
ORD000330,2025-04-28,C00133,East,P4001,Milk,Grocery,1,3,0.44
ORD000331,2025-02-09,C00535,South,P3001,Shirt,Apparel,2,60,6.44
ORD000332,2025-09-09,C00551,East,P1002,Headphones,Electronics,2,100,15.72
ORD000333,2024-12-04,C00989,West,P1002,Headphones,Electronics,2,100,30.8
ORD000334,2024-07-05,C00667,North,P4001,Milk,Grocery,1,3,0.36
ORD000335,2025-02-17,C00700,West,P1001,Smartphone,Electronics,1,300,49.49
ORD000336,2024-06-28,C00467,South,P4002,Coffee,Grocery,2,20,2.64
